Areaname,STCOU,LND010190F,LND010190D,LND010190N1,LND010190N2,LND010200F,LND010200D,LND010200N1,LND010200N2,LND110180F,LND110180D,LND110180N1,LND110180N2,LND110190F,LND110190D,LND110190N1,LND110190N2,LND110200F,LND110200D,LND110200N1,LND110200N2,LND110210F,LND110210D,LND110210N1,LND110210N2,LND210190F,LND210190D,LND210190N1,LND210190N2,LND210200F,LND210200D,LND210200N1,LND210200N2
"Bradley, AR",5011,0,654.43,0,0,0,654.38,0,0,0,654.14,0,0,0,650.68,0,0,0,650.63,0,0,0,649.23,0,0,0,3.75,0,0,0,3.75,0,0
"Calhoun, AR",5013,0,632.59,0,0,0,632.54,0,0,0,628.49,0,0,0,628.33,0,0,0,628.27,0,0,0,628.58,0,0,0,4.26,0,0,0,4.27,0,0
"Carroll, AR",5015,0,642.33,0,0,0,638.81,0,0,0,633.96,0,0,0,633.79,0,0,0,630.27,0,0,0,630.09,0,0,0,8.54,0,0,0,8.54,0,0
"Chicot, AR",5017,0,690.93,0,0,0,690.88,0,0,0,649.41,0,0,0,644.07,0,0,0,644.03,0,0,0,644.3,0,0,0,46.86,0,0,0,46.86,0,0
"Clark, AR",5019,0,882.68,0,0,0,882.6,0,0,0,866.64,0,0,0,865.51,0,0,0,865.43,0,0,0,866.07,0,0,0,17.17,0,0,0,17.17,0,0
"Clay, AR",5021,0,641.47,0,0,0,641.42,0,0,0,640.98,0,0,0,639.35,0,0,0,639.3,0,0,0,639.47,0,0,0,2.12,0,0,0,2.12,0,0
"Cleburne, AR",5023,0,591.95,0,0,0,591.91,0,0,0,550.51,0,0,0,553.09,0,0,0,553.05,0,0,0,553.69,0,0,0,38.86,0,0,0,38.86,0,0
"Cleveland, AR",5025,0,598.84,0,0,0,598.8,0,0,0,598.66,0,0,0,597.75,0,0,0,597.74,0,0,0,597.78,0,0,0,1.09,0,0,0,1.06,0,0
"Columbia, AR",5027,0,766.94,0,0,0,766.86,0,0,0,767.1,0,0,0,766.19,0,0,0,766.11,0,0,0,766.05,0,0,0,0.75,0,0,0,0.75,0,0
"Conway, AR",5029,0,566.71,0,0,0,566.66,0,0,0,558.37,0,0,0,556.22,0,0,0,556.15,0,0,0,552.25,0,0,0,10.49,0,0,0,10.51,0,0
"Craighead, AR",5031,0,713.03,0,0,0,712.98,0,0,0,713.22,0,0,0,710.8,0,0,0,710.84,0,0,0,707.21,0,0,0,2.23,0,0,0,2.14,0,0
"Crawford, AR",5033,0,604.24,0,0,0,604.2,0,0,0,593.61,0,0,0,595.5,0,0,0,595.39,0,0,0,593.09,0,0,0,8.74,0,0,0,8.81,0,0
"Crittenden, AR",5035,0,636.73,0,0,0,636.69,0,0,0,599.35,0,0,0,610.49,0,0,0,610.17,0,0,0,609.76,0,0,0,26.24,0,0,0,26.52,0,0
"Cross, AR",5037,0,622.38,0,0,0,622.33,0,0,0,622.49,0,0,0,615.9,0,0,0,615.85,0,0,0,616.38,0,0,0,6.48,0,0,0,6.49,0,0
"Dallas, AR",5039,0,668.21,0,0,0,668.16,0,0,0,667.73,0,0,0,667.47,0,0,0,667.42,0,0,0,667.39,0,0,0,0.74,0,0,0,0.74,0,0
"Desha, AR",5041,0,819.57,0,0,0,819.52,0,0,0,746.47,0,0,0,765.04,0,0,0,764.99,0,0,0,768.15,0,0,0,54.53,0,0,0,54.53,0,0
"Drew, AR",5043,0,835.71,0,0,0,835.65,0,0,0,831.4,0,0,0,828.24,0,0,0,828.18,0,0,0,828.36,0,0,0,7.47,0,0,0,7.47,0,0
"Faulkner, AR",5045,0,664.05,0,0,0,664.01,0,0,0,645.43,0,0,0,647.36,0,0,0,647.38,0,0,0,647.88,0,0,0,16.69,0,0,0,16.63,0,0
"Franklin, AR",5047,0,619.72,0,0,0,619.69,0,0,0,608.7,0,0,0,609.59,0,0,0,609.55,0,0,0,608.86,0,0,0,10.13,0,0,0,10.13,0,0
